family,n,C1,C1pc,C2,C2pc,C3,C3pc,C4,C4pc,C3C4,C3C4pc,allC
count,189,189,100,189,100,64,33.8624338624339,0,0,0,0,0
llm,54,54,100,54,100,44,81.4814814814815,0,0,0,0,0
ngram,60,59,98.3333333333333,60,100,20,33.3333333333333,0,0,0,0,0
predict,360,360,100,360,100,154,42.7777777777778,0,0,0,0,0
