lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
euc_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.201,-0.373,-0.023,-0.0243286004693544,-297.82,0.689,1185.2,euc_subtitles_conditional_probability_None_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.202,-0.374,-0.028,-0.0243286004693544,-309.41,0.679,1186.4,subtitles,euc,lowercase,conditional_probability_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.066,-0.259,0.124,-0.0270939291881797,849.08,0.478,1184.8,euc_subtitles_conditional_probability_None_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.068,-0.244,0.13,-0.0270939291881797,824.68,0.493,1186.1,subtitles,euc,lowercase,conditional_probability_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_subtitles_log_cooccurrence_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.276,-0.45,-0.079,0.113552153736293,-3.01,0.001,1173.4,euc_subtitles_log_cooccurrence_None_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_log_cooccurrence_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.274,-0.451,-0.085,0.113552153736293,-3.02,0.001,1174.7,subtitles,euc,lowercase,log_cooccurrence_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_log_cooccurrence_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.255,-0.421,-0.053,0.110935242955511,-0.71,0.031,1180.4,euc_subtitles_log_cooccurrence_None_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_log_cooccurrence_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.254,-0.43,-0.014,0.110935242955511,-0.71,0.031,1181.6,subtitles,euc,lowercase,log_cooccurrence_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_log_cooccurrence_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.251,-0.444,-0.027,0.119154937612753,-1.33,0.012,1178.6,euc_subtitles_log_cooccurrence_None_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_log_cooccurrence_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.25,-0.442,-0.067,0.119154937612753,-1.34,0.012,1179.8,subtitles,euc,lowercase,log_cooccurrence_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_log_cooccurrence_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.252,-0.423,-0.02,0.11655061873118,-0.99,0.02,1179.6,euc_subtitles_log_cooccurrence_None_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_log_cooccurrence_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.251,-0.464,-0.036,0.11655061873118,-0.99,0.02,1180.8,subtitles,euc,lowercase,log_cooccurrence_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_pmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.247,-0.39,-0.091,0.046381907904336,-0.67,0,1170,euc_subtitles_pmi_None_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_pmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.246,-0.418,-0.078,0.046381907904336,-0.68,0,1171.3,subtitles,euc,lowercase,pmi_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_pmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.119,-0.293,0.054,0.0259437946414922,-0.62,0.003,1175.6,euc_subtitles_pmi_None_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_pmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.118,-0.285,0.072,0.0259437946414922,-0.62,0.003,1176.9,subtitles,euc,lowercase,pmi_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_pmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.191,-0.36,-0.024,0.0359083868194763,-0.65,0.001,1173.2,euc_subtitles_pmi_None_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_pmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.189,-0.333,-0.019,0.0359083868194763,-0.65,0.001,1174.5,subtitles,euc,lowercase,pmi_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_pmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.141,-0.307,0.058,0.0298090881536952,-0.62,0.002,1175.1,euc_subtitles_pmi_None_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_pmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.14,-0.299,0.016,0.0298090881536952,-0.62,0.002,1176.4,subtitles,euc,lowercase,pmi_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_ppmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.248,-0.407,-0.107,0.0415759439569708,-0.71,0,1169.7,euc_subtitles_ppmi_None_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_ppmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.247,-0.372,-0.102,0.0415759439569708,-0.71,0,1171.1,subtitles,euc,lowercase,ppmi_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_ppmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.109,-0.276,0.075,0.0220110675393508,-0.7,0.002,1175.4,euc_subtitles_ppmi_None_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_ppmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.108,-0.262,0.073,0.0220110675393508,-0.7,0.002,1176.7,subtitles,euc,lowercase,ppmi_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_ppmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.186,-0.353,-0.038,0.0316839321717578,-0.71,0.001,1173,euc_subtitles_ppmi_None_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_ppmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.184,-0.354,-0.033,0.0316839321717578,-0.71,0.001,1174.3,subtitles,euc,lowercase,ppmi_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_ppmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.132,-0.302,0.041,0.0257783467337275,-0.68,0.002,1175.1,euc_subtitles_ppmi_None_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_ppmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.13,-0.309,0.043,0.0257783467337275,-0.68,0.002,1176.4,subtitles,euc,lowercase,ppmi_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_probability_ratios_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.272,-0.396,-0.16,0.00192472841813156,0,0.552,1185,euc_subtitles_probability_ratios_None_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_probability_ratios_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.274,-0.376,-0.163,0.00192472841813156,0,0.531,1186.2,subtitles,euc,lowercase,probability_ratios_None,r_01,None,count,1149.13,1150.56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_subtitles_probability_ratios_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.121,-0.251,0.012,0.00889014413570243,0,0.322,1184.3,euc_subtitles_probability_ratios_None_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_probability_ratios_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.124,-0.255,-0.005,0.00889014413570243,0,0.343,1185.7,subtitles,euc,lowercase,probability_ratios_None,r_10,None,count,1149.13,1150.56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_subtitles_probability_ratios_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.211,-0.329,-0.085,0.00630056011189468,0,0.985,1185.4,euc_subtitles_probability_ratios_None_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_probability_ratios_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.213,-0.339,-0.091,0.00630056011189468,0,0.986,1186.6,subtitles,euc,lowercase,probability_ratios_None,r_03,None,count,1149.13,1150.56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_subtitles_probability_ratios_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.169,-0.312,-0.014,0.0073440691488977,0,0.691,1185.2,euc_subtitles_probability_ratios_None_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_probability_ratios_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.171,-0.306,-0.03,0.0073440691488977,0,0.718,1186.5,subtitles,euc,lowercase,probability_ratios_None,r_05,None,count,1149.13,1150.56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_subtitles_skipgram_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.385,0.193,0.536,0.000461385337339097,76.66,0,1172.4,euc_subtitles_skipgram_100_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.382,0.182,0.53,0.000461385337339097,76.61,0.001,1173.8,subtitles,euc,lowercase,skipgram,r_01,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.517,0.371,0.628,-0.0861465570222475,139.97,0,1156.8,euc_subtitles_skipgram_100_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.513,0.361,0.634,-0.0861465570222475,139.59,0,1158.7,subtitles,euc,lowercase,skipgram,r_10,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.493,0.351,0.629,-0.0384263763796698,111.41,0,1164,euc_subtitles_skipgram_100_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.489,0.336,0.629,-0.0384263763796698,111.1,0,1165.6,subtitles,euc,lowercase,skipgram,r_03,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.529,0.38,0.646,-0.0853658826344172,130.52,0,1157.7,euc_subtitles_skipgram_100_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.524,0.364,0.656,-0.0853658826344172,130.23,0,1159.5,subtitles,euc,lowercase,skipgram,r_05,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.374,0.199,0.534,0.00180719375056148,70.98,0.001,1173.5,euc_subtitles_skipgram_200_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.371,0.211,0.509,0.00180719375056148,70.84,0.001,1174.9,subtitles,euc,lowercase,skipgram,r_01,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.396,0.24,0.533,-0.0271757681094067,112.74,0,1164.2,euc_subtitles_skipgram_200_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.391,0.228,0.529,-0.0271757681094067,112.06,0,1166.1,subtitles,euc,lowercase,skipgram,r_10,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.396,0.241,0.535,-0.0281617834396142,97.28,0,1168.3,euc_subtitles_skipgram_200_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.392,0.22,0.546,-0.0281617834396142,96.84,0,1169.9,subtitles,euc,lowercase,skipgram,r_03,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.461,0.284,0.612,-0.0499917843674994,113.19,0,1160.6,euc_subtitles_skipgram_200_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.456,0.281,0.606,-0.0499917843674994,112.66,0,1162.5,subtitles,euc,lowercase,skipgram,r_05,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.401,0.251,0.538,-0.0188528213259356,84.02,0,1169.9,euc_subtitles_skipgram_300_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.399,0.274,0.529,-0.0188528213259356,84.06,0,1171.3,subtitles,euc,lowercase,skipgram,r_01,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.367,0.214,0.496,-0.0351819220266557,119.07,0,1162,euc_subtitles_skipgram_300_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.363,0.212,0.509,-0.0351819220266557,118.71,0,1163.7,subtitles,euc,lowercase,skipgram,r_10,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.361,0.197,0.52,0.00419383772267338,100.5,0,1166.8,euc_subtitles_skipgram_300_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.357,0.196,0.506,0.00419383772267338,100.11,0,1168.5,subtitles,euc,lowercase,skipgram,r_03,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.389,0.23,0.522,-0.0201098694468969,103.62,0,1164.4,euc_subtitles_skipgram_300_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.385,0.237,0.538,-0.0201098694468969,103.23,0,1166.2,subtitles,euc,lowercase,skipgram,r_05,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.364,0.168,0.529,0.00299943344869182,77.39,0.001,1174,euc_subtitles_skipgram_50_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.362,0.194,0.495,0.00299943344869182,77.52,0.001,1175.4,subtitles,euc,lowercase,skipgram,r_01,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.537,0.397,0.648,-0.0943787946314063,142.87,0,1157.3,euc_subtitles_skipgram_50_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.534,0.4,0.647,-0.0943787946314063,142.87,0,1159,subtitles,euc,lowercase,skipgram,r_10,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.548,0.413,0.678,-0.0817720637416988,130.41,0,1155.9,euc_subtitles_skipgram_50_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.544,0.399,0.674,-0.0817720637416988,130.25,0,1157.6,subtitles,euc,lowercase,skipgram,r_03,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.547,0.403,0.682,-0.0723474281858912,124.25,0,1158,euc_subtitles_skipgram_50_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.543,0.405,0.653,-0.0723474281858912,124.26,0,1159.7,subtitles,euc,lowercase,skipgram,r_05,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.349,0.206,0.475,0.00290220227060114,64.87,0.002,1175.3,euc_subtitles_skipgram_500_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.347,0.175,0.484,0.00290220227060114,64.99,0.002,1176.7,subtitles,euc,lowercase,skipgram,r_01,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.164,-0.007,0.324,0.0088382331879268,98.06,0,1171,euc_subtitles_skipgram_500_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.161,-0.04,0.328,0.0088382331879268,97.56,0,1172.6,subtitles,euc,lowercase,skipgram,r_10,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.362,0.202,0.512,-0.0266679716699545,92.16,0,1166.7,euc_subtitles_skipgram_500_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.359,0.239,0.481,-0.0266679716699545,92.09,0,1168.3,subtitles,euc,lowercase,skipgram,r_03,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_subtitles_skipgram_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.264,0.107,0.434,-0.00991513300733788,94.07,0,1167.9,euc_subtitles_skipgram_500_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,euc_subtitles_skipgram_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.26,0.121,0.41,-0.00991513300733788,93.81,0,1169.5,subtitles,euc,lowercase,skipgram,r_05,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.159,-0.036,0.334,0.0204465301559752,205.64,0.055,1181.4,cor_subtitles_cbow_100_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.157,-0.073,0.353,0.0204465301559752,203.87,0.059,1182.8,subtitles,cor,lowercase,cbow,r_01,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.37,0.155,0.551,-0.256467827278325,382.92,0,1169,cor_subtitles_cbow_100_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.366,0.178,0.501,-0.256467827278325,380.58,0,1170.6,subtitles,cor,lowercase,cbow,r_10,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.317,0.135,0.483,-0.0836080841292916,260.04,0.005,1176.9,cor_subtitles_cbow_100_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.314,0.102,0.524,-0.0836080841292916,258.38,0.005,1178.3,subtitles,cor,lowercase,cbow,r_03,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.369,0.171,0.52,-0.147513185189429,302.96,0.001,1174,cor_subtitles_cbow_100_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.365,0.165,0.551,-0.147513185189429,300.24,0.001,1175.6,subtitles,cor,lowercase,cbow,r_05,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.172,-0.024,0.39,0.00430652524914703,269.48,0.043,1181,cor_subtitles_cbow_200_r1m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.17,-0.034,0.346,0.00430652524914703,267.39,0.046,1182.3,subtitles,cor,lowercase,cbow,r_01,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.293,0.068,0.476,-0.214703049596433,307.44,0.011,1178.5,cor_subtitles_cbow_200_r10m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.288,0.048,0.489,-0.214703049596433,302.06,0.014,1180.1,subtitles,cor,lowercase,cbow,r_10,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.332,0.151,0.482,-0.0857166798710349,340.36,0.003,1176.2,cor_subtitles_cbow_200_r3m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.328,0.125,0.495,-0.0857166798710349,336.91,0.004,1177.8,subtitles,cor,lowercase,cbow,r_03,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.317,0.133,0.496,-0.159687677137812,339.34,0.003,1176.1,cor_subtitles_cbow_200_r5m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,cor_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.313,0.12,0.512,-0.159687677137812,335.78,0.004,1177.7,subtitles,cor,lowercase,cbow,r_05,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
