lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
subtitles_conditional_probability_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.228,-0.401,-0.035,0.175439614342768,-102658.47,0.034,1125.8,subtitles_conditional_probability_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.23,-0.407,-0.026,0.175439614342768,-102782.18,0.035,1127.3,subtitles,-,lowercase,conditional_probability_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.481,-0.601,-0.377,0.14222650535294,-104761.52,0.001,1122,subtitles_conditional_probability_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.477,-0.594,-0.35,0.14222650535294,-104427.94,0.002,1123.7,subtitles,-,lowercase,conditional_probability_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.459,-0.571,-0.341,0.194674947368687,-78899.78,0.001,1121.7,subtitles_conditional_probability_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.456,-0.553,-0.348,0.194674947368687,-78652.09,0.001,1123.3,subtitles,-,lowercase,conditional_probability_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.462,-0.568,-0.344,0.128327301354792,-86529.81,0.003,1123.5,subtitles_conditional_probability_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.459,-0.576,-0.326,0.128327301354792,-86465.1,0.003,1125.1,subtitles,-,lowercase,conditional_probability_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.146,-0.289,0.039,0.0508184627950211,-70.35,0.016,1140.1,subtitles_log_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.147,-0.319,0.026,0.0508184627950211,-71.36,0.016,1141.4,subtitles,-,lowercase,log_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.21,-0.374,-0.059,0.0918664224220034,-70.24,0.001,1136.6,subtitles_log_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.206,-0.357,-0.04,0.0918664224220034,-69.84,0.002,1138.3,subtitles,-,lowercase,log_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.243,-0.403,-0.056,0.0860229545867056,-56.65,0.005,1138.9,subtitles_log_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.24,-0.408,-0.044,0.0860229545867056,-56.68,0.006,1140.5,subtitles,-,lowercase,log_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.212,-0.359,-0.032,0.0477837713846053,-57.7,0.006,1139.5,subtitles_log_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.21,-0.357,-0.061,0.0477837713846053,-57.9,0.007,1141,subtitles,-,lowercase,log_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_pmi_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.211,0.041,0.377,-0.0401707021870439,18.43,0.092,1144.4,subtitles_pmi_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_pmi_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.205,0.062,0.373,-0.0401707021870439,18,0.102,1145.9,subtitles,-,lowercase,pmi_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
subtitles_pmi_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.187,-0.37,-0.025,0.211116970226151,-28.06,0.034,1142.2,subtitles_pmi_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_pmi_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.182,-0.382,0.025,0.211116970226151,-27.31,0.04,1143.9,subtitles,-,lowercase,pmi_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_pmi_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.159,-0.359,0.065,0.112433824463009,-18.36,0.114,1144.5,subtitles_pmi_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_pmi_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.16,-0.374,0.052,0.112433824463009,-18.32,0.117,1145.9,subtitles,-,lowercase,pmi_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
subtitles_pmi_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.137,-0.347,0.075,0.00376906608392668,-5.55,0.606,1146.7,subtitles_pmi_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_pmi_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.136,-0.325,0.053,0.00376906608392668,-5.36,0.619,1148.1,subtitles,-,lowercase,pmi_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.13,-0.036,0.274,0.070482958088357,-6.7,0.77,1146.1,subtitles_ppmi_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_ppmi_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.125,-0.024,0.273,0.070482958088357,-7.17,0.746,1147.5,subtitles,-,lowercase,ppmi_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
subtitles_ppmi_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.177,-0.37,0.044,0.183453757109626,-55.14,0.037,1141,subtitles_ppmi_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_ppmi_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.172,-0.375,0.058,0.183453757109626,-53.38,0.045,1142.7,subtitles,-,lowercase,ppmi_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_ppmi_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.204,-0.374,-0.027,0.256434211174938,-47.82,0.008,1139,subtitles_ppmi_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_ppmi_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.205,-0.387,-0.02,0.256434211174938,-47.29,0.009,1140.6,subtitles,-,lowercase,ppmi_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_ppmi_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.187,-0.385,0.006,0.170182329854378,-36.62,0.081,1142.7,subtitles_ppmi_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_ppmi_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.185,-0.395,0.024,0.170182329854378,-36.01,0.088,1144.3,subtitles,-,lowercase,ppmi_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
subtitles_probability_ratio_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.091,-0.027,0.208,0.12388500984836,-2.63,0.539,1148.9,subtitles_probability_ratio_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_probability_ratio_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.086,-0.027,0.216,0.12388500984836,-2.64,0.536,1150.3,subtitles,-,lowercase,probability_ratio_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.231,-0.394,-0.038,0.235184059177604,-45.87,0.011,1139.6,subtitles_probability_ratio_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_probability_ratio_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.226,-0.404,-0.042,0.235184059177604,-44.5,0.015,1141.5,subtitles,-,lowercase,probability_ratio_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_probability_ratio_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.18,-0.363,-0.009,0.254538584775215,-21.54,0.013,1141.3,subtitles_probability_ratio_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_probability_ratio_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.18,-0.361,-0.001,0.254538584775215,-21.31,0.015,1142.9,subtitles,-,lowercase,probability_ratio_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_probability_ratio_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.19,-0.367,-0.026,0.178653725956867,-23.69,0.047,1143,subtitles_probability_ratio_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_probability_ratio_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.19,-0.372,0,0.178653725956867,-23.43,0.051,1144.5,subtitles,-,lowercase,probability_ratio_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_cbow_100_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.158,-0.029,0.346,0.023843287834875,135.24,0.197,1141.1,cos_subtitles_cbow_100_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_100_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.156,-0.048,0.341,0.023843287834875,134.54,0.201,1142.5,subtitles,cos,lowercase,cbow,r_01,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_cbow_100_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.367,0.169,0.526,-0.259357610975814,435.79,0,1126.8,cos_subtitles_cbow_100_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_100_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.363,0.152,0.508,-0.259357610975814,432.11,0,1128.7,subtitles,cos,lowercase,cbow,r_10,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_100_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.328,0.121,0.482,-0.0826885133632779,248.98,0.011,1136.9,cos_subtitles_cbow_100_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_100_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.325,0.143,0.5,-0.0826885133632779,246.85,0.013,1138.4,subtitles,cos,lowercase,cbow,r_03,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_100_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.357,0.16,0.515,-0.147205111627701,324,0.002,1133.3,cos_subtitles_cbow_100_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_100_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.353,0.146,0.522,-0.147205111627701,320.15,0.002,1135.1,subtitles,cos,lowercase,cbow,r_05,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_200_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.163,-0.051,0.347,0.0126860568911061,182.19,0.165,1140.4,cos_subtitles_cbow_200_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_200_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.161,-0.023,0.363,0.0126860568911061,180.55,0.171,1141.9,subtitles,cos,lowercase,cbow,r_01,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_cbow_200_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.294,0.054,0.487,-0.217105479009435,369.77,0.005,1134.5,cos_subtitles_cbow_200_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_200_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.289,0.08,0.483,-0.217105479009435,363.11,0.006,1136.3,subtitles,cos,lowercase,cbow,r_10,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_200_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.323,0.132,0.476,-0.0807163248258594,295.14,0.015,1137,cos_subtitles_cbow_200_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_200_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.319,0.091,0.505,-0.0807163248258594,292.17,0.017,1138.5,subtitles,cos,lowercase,cbow,r_03,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_200_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.322,0.141,0.492,-0.153837587179355,350.14,0.005,1134.7,cos_subtitles_cbow_200_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_200_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.317,0.123,0.506,-0.153837587179355,345.53,0.005,1136.4,subtitles,cos,lowercase,cbow,r_05,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_300_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.125,-0.054,0.301,0.0492488700597047,114.18,0.457,1141.1,cos_subtitles_cbow_300_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_300_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.122,-0.075,0.326,0.0492488700597047,109.91,0.473,1142.6,subtitles,cos,lowercase,cbow,r_01,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_cbow_300_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.272,0.041,0.465,-0.211157884093419,415.89,0.009,1135,cos_subtitles_cbow_300_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_300_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.268,0.058,0.441,-0.211157884093419,409.32,0.01,1136.8,subtitles,cos,lowercase,cbow,r_10,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_300_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.339,0.118,0.525,-0.113860899883114,390.62,0.006,1135.1,cos_subtitles_cbow_300_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_300_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.335,0.144,0.5,-0.113860899883114,387.44,0.007,1136.7,subtitles,cos,lowercase,cbow,r_03,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_300_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.313,0.068,0.523,-0.154845210348315,381.91,0.005,1134.6,cos_subtitles_cbow_300_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_300_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.308,0.101,0.495,-0.154845210348315,375.65,0.006,1136.4,subtitles,cos,lowercase,cbow,r_05,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.27,0.1,0.437,-0.00808757900214103,219.38,0.041,1138.9,cos_subtitles_cbow_50_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_50_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.27,0.117,0.436,-0.00808757900214103,220.22,0.041,1140.3,subtitles,cos,lowercase,cbow,r_01,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.398,0.238,0.543,-0.180132625591756,276.62,0.001,1131.9,cos_subtitles_cbow_50_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_50_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.395,0.208,0.561,-0.180132625591756,273.95,0.001,1133.6,subtitles,cos,lowercase,cbow,r_10,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.394,0.234,0.563,-0.0784406753599746,242.43,0.002,1134.2,cos_subtitles_cbow_50_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_50_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.392,0.22,0.538,-0.0784406753599746,241.98,0.002,1135.7,subtitles,cos,lowercase,cbow,r_03,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.435,0.241,0.599,-0.175666205165195,321.51,0,1129.5,cos_subtitles_cbow_50_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_50_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.433,0.253,0.579,-0.175666205165195,319.03,0,1131.1,subtitles,cos,lowercase,cbow,r_05,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_500_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.101,-0.112,0.297,0.0234232376238452,162.38,0.376,1140.6,cos_subtitles_cbow_500_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_500_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.1,-0.117,0.286,0.0234232376238452,159.3,0.386,1142.1,subtitles,cos,lowercase,cbow,r_01,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_cbow_500_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.298,0.107,0.466,-0.183121053221174,416.63,0.01,1135.3,cos_subtitles_cbow_500_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_500_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.293,0.103,0.468,-0.183121053221174,410.01,0.012,1137,subtitles,cos,lowercase,cbow,r_10,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_500_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.296,0.122,0.483,-0.060840673581245,369.05,0.027,1137.3,cos_subtitles_cbow_500_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_500_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.292,0.098,0.481,-0.060840673581245,363.68,0.03,1138.9,subtitles,cos,lowercase,cbow,r_03,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_500_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.32,0.116,0.507,-0.127076281072886,400.65,0.009,1135.4,cos_subtitles_cbow_500_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_cbow_500_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.315,0.072,0.523,-0.127076281072886,394.17,0.01,1137.1,subtitles,cos,lowercase,cbow,r_05,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_conditional_probability_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.389,-0.532,-0.215,0.00817265045393462,-113.41,0.178,1141.3,cos_subtitles_conditional_probability_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_conditional_probability_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.389,-0.543,-0.254,0.00817265045393462,-114.95,0.174,1142.7,subtitles,cos,lowercase,conditional_probability_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_conditional_probability_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.038,-0.145,0.215,-0.0668459228255678,916.65,0.102,1136.6,cos_subtitles_conditional_probability_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_conditional_probability_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.036,-0.138,0.212,-0.0668459228255678,902.78,0.109,1138.1,subtitles,cos,lowercase,conditional_probability_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_conditional_probability_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.27,-0.425,-0.111,-0.0219354620187318,-22.59,0.803,1141.8,cos_subtitles_conditional_probability_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_conditional_probability_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.272,-0.424,-0.094,-0.0219354620187318,-27.41,0.779,1143.3,subtitles,cos,lowercase,conditional_probability_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cos_subtitles_conditional_probability_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.125,-0.285,0.03,-0.0380868314711903,187.37,0.502,1140.2,cos_subtitles_conditional_probability_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cos_subtitles_conditional_probability_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.127,-0.302,0.022,-0.0380868314711903,179.85,0.524,1141.6,subtitles,cos,lowercase,conditional_probability_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
