family,n,C1,C1pc,C2,C2pc,C3,C3pc,C4,C4pc,C3C4,C3C4pc,allC
count,189,189,100,189,100,65,34.3915343915344,149,78.8359788359788,35,18.5185185185185,18.5185185185185
llm,54,54,100,54,100,22,40.7407407407407,39,72.2222222222222,21,38.8888888888889,38.8888888888889
ngram,60,59,98.3333333333333,60,100,17,28.3333333333333,49,81.6666666666667,17,28.3333333333333,28.3333333333333
predict,360,360,100,360,100,146,40.5555555555556,340,94.4444444444444,146,40.5555555555556,40.5555555555556
