family,n,C1,C1pc,C2,C2pc,C3,C3pc,C4,C4pc,C3C4,C3C4pc,allC
count,189,189,100,189,100,64,33.8624338624339,49,25.9259259259259,49,25.9259259259259,25.3968253968254
llm,54,54,100,54,100,44,81.4814814814815,23,42.5925925925926,23,42.5925925925926,42.5925925925926
ngram,60,59,98.3333333333333,60,100,20,33.3333333333333,8,13.3333333333333,8,13.3333333333333,13.3333333333333
predict,360,360,100,360,100,154,42.7777777777778,106,29.4444444444444,106,29.4444444444444,29.4444444444444
