,0,1,euclidean
0,rebecca,career,115.1944902081751
1,rebecca,family,113.53703277557554
2,rebecca,male,108.90080319907663
3,rebecca,female,115.97014838201464
4,michelle,career,111.81936891907213
5,michelle,family,116.20995282724306
6,michelle,male,100.03352876708783
7,michelle,female,113.83195191885382
8,emily,career,110.68416597720592
9,emily,family,113.48755478045898
10,emily,male,103.57249881206832
11,emily,female,114.66783659902156
12,julia,career,115.0070134046798
13,julia,family,117.68021390328398
14,julia,male,102.66238997968065
15,julia,female,116.61668736488535
16,anna,career,112.7509907133753
17,anna,family,112.54534324466557
18,anna,male,100.93849745805879
19,anna,female,112.83713807072137
20,ben,career,118.11779107940396
21,ben,family,123.192261513827
22,ben,male,105.8167212052741
23,ben,female,123.50443702062468
24,paul,career,116.88776080794821
25,paul,family,121.61773550591457
26,paul,male,104.70735391324912
27,paul,female,121.15215059095365
28,daniel,career,112.00315078169966
29,daniel,family,118.24882800846717
30,daniel,male,102.54900481627409
31,daniel,female,116.98074961142466
32,john,career,111.97220910989081
33,john,family,117.28251609010348
34,john,male,101.47082326037399
35,john,female,116.96132977193092
36,jeffrey,career,114.04569567808389
37,jeffrey,family,119.85593826613375
38,jeffrey,male,102.47090282057422
39,jeffrey,female,118.79569647011722
40,career,career,0.0
41,career,family,78.48605623916147
42,career,male,91.8433532909034
43,career,female,86.49897907559301
44,corporation,career,97.43422941910067
45,corporation,family,102.2233200158076
46,corporation,male,99.54439449562636
47,corporation,female,109.53501938203934
48,salary,career,85.9618116739612
49,salary,family,93.18385756717919
50,salary,male,98.58571113164527
51,salary,female,98.93959987087541
52,office,career,89.22502068691131
53,office,family,89.7514137791109
54,office,male,93.4566625782894
55,office,female,96.58303871891752
56,professional,career,83.59513911475347
57,professional,family,81.7876926994088
58,professional,male,93.61116677846232
59,professional,female,76.90212127906118
60,management,career,74.51909744058871
61,management,family,80.11736785509565
62,management,male,96.95998298331186
63,management,female,91.42214156011575
64,business,career,69.68581494713419
65,business,family,77.24112308129763
66,business,male,96.57509030102437
67,business,female,87.42309467238988
68,wedding,career,88.81867656298375
69,wedding,family,83.35126390132304
70,wedding,male,98.41284484994647
71,wedding,female,90.7493253432121
72,marriage,career,77.33466568441965
73,marriage,family,78.21812459159268
74,marriage,male,88.18121918912165
75,marriage,female,92.31843202461457
76,parents,career,99.42087486653892
77,parents,family,101.23448800562852
78,parents,male,97.01851688892255
79,parents,female,112.78565481505281
80,relatives,career,125.05706659029185
81,relatives,family,119.53221315248398
82,relatives,male,118.67320432859073
83,relatives,female,131.51181990452062
84,family,career,78.48605623916147
85,family,family,0.0
86,family,male,92.13848025815986
87,family,female,79.81744001142404
88,home,career,101.33353722524352
89,home,family,104.68599903508446
90,home,male,105.28377617860585
91,home,female,109.74342298816427
92,children,career,97.92050882446621
93,children,family,96.86253193758077
94,children,male,92.53537574735097
95,children,female,107.7538350195481
