.,.
1,Biological sciences/life sciences
2,Business
3,Communications
4,Computer and information sciences
5,Education
6,"Engineering, mathematics, or physical sciences/science technologies"
7,Health professions or related sciences
8,Humanities/liberal arts
9,Law or legal studies
10,Psychology
11,Social sciences or history
12,Visual or performing arts
13,Other
14,M.B.A.
