.,.
1,elementary school
2,junior high
3,some high school
4,high school graduate
5,some college
6,associate's degree
7,bachelor's degree
8,some graduate school
9,master's degree
10,J.D.
11,M.D.
12,Ph.D.
13,other advanced degree
14,M.B.A.
