First word,Second word,cosine distance
rebecca,career,20.864624
rebecca,family,17.582916
rebecca,male,19.51374
rebecca,female,19.805378
michelle,career,19.532658
michelle,family,17.54702
michelle,male,18.903141
michelle,female,19.178816
emily,career,23.08749
emily,family,19.527344
emily,male,22.89411
emily,female,22.697363
julia,career,21.316727
julia,family,19.449642
julia,male,22.20118
julia,female,22.33439
anna,career,23.30079
anna,family,18.13345
anna,male,23.471098
anna,female,23.402811
ben,career,23.096062
ben,family,22.464499
ben,male,23.765469
ben,female,24.6975
paul,career,20.71511
paul,family,21.867538
paul,male,23.010496
paul,female,24.613031
daniel,career,21.508593
daniel,family,20.215378
daniel,male,22.793943
daniel,female,23.448341
john,career,20.431942
john,family,19.849724
john,male,22.31462
john,female,24.043455
jeffrey,career,19.853554
jeffrey,family,18.746416
jeffrey,male,20.59132
jeffrey,female,21.535599
career,career,0.0
career,family,21.626644
career,male,23.24331
career,female,24.209377
corporation,career,26.484293
corporation,family,25.343735
corporation,male,26.943907
corporation,female,28.730152
salary,career,22.16993
salary,family,24.098854
salary,male,25.330061
salary,female,26.235275
office,career,24.178276
office,family,22.644556
office,male,25.174734
office,female,26.263842
professional,career,17.981546
professional,family,21.7363
professional,male,20.334923
professional,female,21.559015
management,career,24.232561
management,family,25.38069
management,male,25.866184
management,female,27.400726
business,career,20.408054
business,family,21.212702
business,male,23.58841
business,female,25.498062
wedding,career,26.692846
wedding,family,19.874413
wedding,male,26.141273
wedding,female,25.89289
marriage,career,22.241135
marriage,family,16.99766
marriage,male,24.292
marriage,female,23.830042
parents,career,25.030869
parents,family,16.739332
parents,male,23.284752
parents,female,23.99556
relatives,career,26.263575
relatives,family,13.522009
relatives,male,21.437662
relatives,female,22.478077
family,career,21.626644
family,family,0.0
family,male,20.617384
family,female,21.871967
home,career,21.081392
home,family,14.791
home,male,20.76077
home,female,22.473974
children,career,26.152985
children,family,17.463709
children,male,22.18751
children,female,22.820719
