First word,Second word,cosine distance
rebecca,career,11.221806
rebecca,family,9.595269
rebecca,male,11.591234
rebecca,female,10.871317
michelle,career,11.188324
michelle,family,9.710788
michelle,male,11.800359
michelle,female,11.242305
emily,career,11.233807
emily,family,9.693795
emily,male,11.39989
emily,female,10.603145
julia,career,11.509866
julia,family,10.323803
julia,male,12.34743
julia,female,11.839033
anna,career,11.841671
anna,family,10.245765
anna,male,12.51601
anna,female,11.723419
ben,career,11.885199
ben,family,10.707314
ben,male,12.261513
ben,female,11.644218
paul,career,10.132463
paul,family,8.828696
paul,male,10.843203
paul,female,10.245913
daniel,career,11.8124895
daniel,family,10.384234
daniel,male,11.994473
daniel,female,11.460217
john,career,9.977587
john,family,8.645673
john,male,10.854789
john,female,10.281682
jeffrey,career,11.908585
jeffrey,family,10.65185
jeffrey,male,12.264848
jeffrey,female,11.893193
career,career,0.0
career,family,9.03813
career,male,11.051444
career,female,10.450009
corporation,career,11.161982
corporation,family,10.374982
corporation,male,12.2538805
corporation,female,11.754761
salary,career,11.511211
salary,family,12.073707
salary,male,13.017425
salary,female,12.667209
office,career,9.910907
office,family,8.267868
office,male,10.736085
office,female,10.124425
professional,career,8.0644865
professional,family,8.321735
professional,male,10.09084
professional,female,9.41743
management,career,9.289983
management,family,8.347737
management,male,10.28141
management,female,9.83797
business,career,8.433182
business,family,7.5922217
business,male,10.13962
business,female,9.515181
wedding,career,11.523188
wedding,family,10.244
wedding,male,12.510979
wedding,female,12.110421
marriage,career,9.822631
marriage,family,8.485873
marriage,male,10.915166
marriage,female,10.687541
parents,career,9.131673
parents,family,6.3178415
parents,male,9.163742
parents,female,8.782089
relatives,career,10.211096
relatives,family,6.4472523
relatives,male,9.601571
relatives,female,9.456916
family,career,9.03813
family,family,0.0
family,male,9.338133
family,female,9.136809
home,career,9.019168
home,family,6.9807477
home,male,9.964172
home,female,9.270777
children,career,9.352855
children,family,6.8858676
children,male,9.435478
children,female,9.02351
