First word,Second word,cosine distance
rebecca,career,6.0560837
rebecca,family,4.8220506
rebecca,male,6.674939
rebecca,female,6.4216394
michelle,career,6.0417695
michelle,family,5.064898
michelle,male,6.816396
michelle,female,6.5471897
emily,career,6.0634513
emily,family,4.5251822
emily,male,6.0731044
emily,female,5.8999066
julia,career,5.9177256
julia,family,5.087259
julia,male,6.6985207
julia,female,6.447184
anna,career,6.17626
anna,family,4.9847603
anna,male,6.7497754
anna,female,6.611867
ben,career,6.6844587
ben,family,5.3979297
ben,male,7.066683
ben,female,6.742063
paul,career,6.3452473
paul,family,5.446715
paul,male,6.901387
paul,female,6.7206783
daniel,career,6.8252273
daniel,family,5.6399236
daniel,male,6.9378433
daniel,female,6.754212
john,career,6.6320615
john,family,5.186648
john,male,6.7748823
john,female,6.584713
jeffrey,career,6.6397276
jeffrey,family,5.4520054
jeffrey,male,6.742543
jeffrey,female,6.487754
career,career,0.0
career,family,5.254018
career,male,6.4064746
career,female,6.008312
corporation,career,6.285285
corporation,family,5.50915
corporation,male,6.965108
corporation,female,6.600792
salary,career,6.248584
salary,family,6.9681573
salary,male,7.969886
salary,female,7.7332907
office,career,5.655953
office,family,4.4990225
office,male,6.3213453
office,female,6.036702
professional,career,4.340632
professional,family,4.8241982
professional,male,5.401258
professional,female,4.83199
management,career,5.021031
management,family,4.625395
management,male,6.2258544
management,female,5.8368163
business,career,4.2719765
business,family,3.8521678
business,male,5.7532835
business,female,5.396571
wedding,career,6.647322
wedding,family,5.385266
wedding,male,7.594653
wedding,female,7.3487678
marriage,career,5.5099044
marriage,family,4.0386486
marriage,male,5.789816
marriage,female,5.8641033
parents,career,5.6929784
parents,family,3.3692682
parents,male,4.7564054
parents,female,4.7327986
relatives,career,6.4831085
relatives,family,3.3604224
relatives,male,5.3674445
relatives,female,5.3948884
family,career,5.254018
family,family,0.0
family,male,4.5083375
family,female,4.4093475
home,career,4.7811193
home,family,2.8598254
home,male,5.3661885
home,female,5.082572
children,career,5.7815576
children,family,3.5460474
children,male,4.446904
children,female,4.4377747
