First word,Second word,cosine distance
rebecca,career,3.16944
rebecca,family,2.3221388
rebecca,male,3.2032826
rebecca,female,3.1694834
michelle,career,3.123928
michelle,family,2.6952515
michelle,male,3.2874007
michelle,female,3.189188
emily,career,3.4970574
emily,family,2.9302876
emily,male,3.710653
emily,female,3.6184123
julia,career,3.2051258
julia,family,2.8383608
julia,male,3.6983013
julia,female,3.6777322
anna,career,3.4993412
anna,family,2.6392949
anna,male,3.6038334
anna,female,3.5532627
ben,career,3.7094357
ben,family,3.1980298
ben,male,3.816447
ben,female,3.9298394
paul,career,3.4435952
paul,family,3.1026208
paul,male,3.723434
paul,female,3.7892675
daniel,career,3.3747067
daniel,family,2.8141682
daniel,male,3.5689404
daniel,female,3.6115088
john,career,3.3925693
john,family,2.9649892
john,male,3.726977
john,female,3.8536372
jeffrey,career,2.8804226
jeffrey,family,2.699967
jeffrey,male,3.2723634
jeffrey,female,3.3361883
career,career,0.0
career,family,2.636958
career,male,3.2562668
career,female,3.2721508
corporation,career,3.7743602
corporation,family,3.3311183
corporation,male,4.045924
corporation,female,4.2122674
salary,career,3.1508822
salary,family,3.4516296
salary,male,3.8864036
salary,female,3.8924
office,career,2.9456208
office,family,2.561556
office,male,3.330335
office,female,3.3944807
professional,career,2.5175843
professional,family,2.780605
professional,male,2.8572726
professional,female,2.840448
management,career,2.811617
management,family,2.8718586
management,male,3.4636161
management,female,3.572277
business,career,2.4221528
business,family,2.2135274
business,male,3.065073
business,female,3.1425028
wedding,career,3.4733617
wedding,family,2.8172357
wedding,male,3.805465
wedding,female,3.689985
marriage,career,2.7380407
marriage,family,2.0028217
marriage,male,3.1480606
marriage,female,3.1566281
parents,career,3.044417
parents,family,1.6610911
parents,male,2.5013554
parents,female,2.5001414
relatives,career,3.6929026
relatives,family,2.0608757
relatives,male,2.9668903
relatives,female,2.9942968
family,career,2.636958
family,family,0.0
family,male,2.4445581
family,female,2.454965
home,career,2.7124486
home,family,1.786602
home,male,2.8877358
home,female,2.9455304
children,career,3.038232
children,family,1.8898319
children,male,2.3700356
children,female,2.3002489
