First word,Second word,cosine distance
rebecca,career,19.607105
rebecca,family,16.388891
rebecca,male,20.777624
rebecca,female,19.143587
michelle,career,19.495184
michelle,family,16.559557
michelle,male,20.023125
michelle,female,19.118689
emily,career,20.009485
emily,family,15.714134
emily,male,20.130844
emily,female,18.57546
julia,career,20.03
julia,family,16.121473
julia,male,19.64874
julia,female,17.855904
anna,career,19.838884
anna,family,16.573776
anna,male,20.184996
anna,female,18.108969
ben,career,19.461218
ben,family,16.529463
ben,male,20.35664
ben,female,20.091314
paul,career,18.254145
paul,family,16.876818
paul,male,20.238983
paul,female,19.139227
daniel,career,19.366844
daniel,family,16.662958
daniel,male,20.755598
daniel,female,20.23769
john,career,18.004364
john,family,16.670616
john,male,20.355654
john,female,19.181839
jeffrey,career,17.22388
jeffrey,family,15.724603
jeffrey,male,18.93465
jeffrey,female,17.705185
career,career,0.0
career,family,18.090143
career,male,20.865423
career,female,19.587269
corporation,career,21.461851
corporation,family,20.95447
corporation,male,22.959015
corporation,female,22.440102
salary,career,19.425945
salary,family,20.044422
salary,male,22.779942
salary,female,21.9976
office,career,20.40341
office,family,17.418726
office,male,20.95008
office,female,20.01846
professional,career,14.838429
professional,family,16.910309
professional,male,18.493397
professional,female,17.352898
management,career,19.321144
management,family,19.1327
management,male,21.247805
management,female,20.747612
business,career,17.404142
business,family,15.58555
business,male,19.797016
business,female,19.537977
wedding,career,21.883654
wedding,family,17.270641
wedding,male,23.316011
wedding,female,22.982103
marriage,career,20.212004
marriage,family,17.164656
marriage,male,21.242374
marriage,female,20.856567
parents,career,19.180248
parents,family,11.651915
parents,male,19.745974
parents,female,19.8294
relatives,career,22.56055
relatives,family,13.190597
relatives,male,21.518475
relatives,female,20.766197
family,career,18.090143
family,family,0.0
family,male,19.100943
family,female,18.95486
home,career,17.656229
home,family,11.079486
home,male,19.272886
home,female,18.544628
children,career,19.48044
children,family,13.035831
children,male,19.657978
children,female,19.18489
