First word,Second word,cosine distance
rebecca,career,2.741804
rebecca,family,2.1146064
rebecca,male,2.782849
rebecca,female,2.8331273
michelle,career,2.802519
michelle,family,2.5961
michelle,male,2.9973469
michelle,female,2.9476993
emily,career,3.1465516
emily,family,2.4974444
emily,male,3.3015668
emily,female,3.227711
julia,career,2.7279365
julia,family,2.5043294
julia,male,3.1351902
julia,female,3.1159327
anna,career,3.0865934
anna,family,2.3920746
anna,male,3.2024188
anna,female,3.2170982
ben,career,2.8062384
ben,family,2.748601
ben,male,3.0265586
ben,female,3.1121511
paul,career,2.4941437
paul,family,2.693044
paul,male,3.0651436
paul,female,3.1421287
daniel,career,2.6816692
daniel,family,2.4920757
daniel,male,3.0040908
daniel,female,3.0887778
john,career,2.5254424
john,family,2.4019296
john,male,2.9061217
john,female,3.0121658
jeffrey,career,2.4693768
jeffrey,family,2.659213
jeffrey,male,2.8620753
jeffrey,female,2.8978364
career,career,0.0
career,family,2.4221094
career,male,2.719459
career,female,2.8292053
corporation,career,3.4503915
corporation,family,3.106162
corporation,male,3.7080014
corporation,female,3.8811433
salary,career,2.9601345
salary,family,3.3277307
salary,male,3.4995196
salary,female,3.554878
office,career,2.6746883
office,family,2.3581388
office,male,2.853107
office,female,3.0191238
professional,career,2.184671
professional,family,2.6259673
professional,male,2.6067886
professional,female,2.7160747
management,career,2.5829248
management,family,2.8001037
management,male,3.232236
management,female,3.4174159
business,career,2.3659
business,family,2.2379458
business,male,2.7671854
business,female,2.898405
wedding,career,3.22088
wedding,family,2.6590343
wedding,male,3.37461
wedding,female,3.3585443
marriage,career,2.6842284
marriage,family,1.9061881
marriage,male,2.9986632
marriage,female,2.978008
parents,career,2.782326
parents,family,1.6261399
parents,male,2.3369899
parents,female,2.4107347
relatives,career,3.3399878
relatives,family,1.8939571
relatives,male,2.5754528
relatives,female,2.7281296
family,career,2.4221094
family,family,0.0
family,male,2.1856
family,female,2.3787634
home,career,2.365159
home,family,1.6184599
home,male,2.2985737
home,female,2.5687268
children,career,2.9203465
children,family,1.7319353
children,male,2.233092
children,female,2.2962725
