First word,Second word,cosine distance
rebecca,career,0.9897411430209803
rebecca,family,1.003795202504255
rebecca,male,0.9957125835152579
rebecca,female,0.99323593485858
michelle,career,0.9909506564400032
michelle,family,1.0065515137865821
michelle,male,0.9959555772496964
michelle,female,0.9919554954732428
emily,career,0.9825416136170615
emily,family,0.9981294768890222
emily,male,0.987477126135104
emily,female,0.9858882810264515
julia,career,0.9805046697504718
julia,family,0.9996316532031305
julia,male,0.9887305074422484
julia,female,0.9845982076036474
anna,career,0.9766453288088124
anna,family,0.9897110805890634
anna,male,0.9885251226916841
anna,female,0.981989139117274
ben,career,0.9699893440275157
ben,family,0.9961781764767107
ben,male,0.9836184153197586
ben,female,0.9804804075480759
paul,career,0.957883221920733
paul,family,0.9762037131842218
paul,male,0.9765477520227571
paul,female,0.9790437671893127
daniel,career,0.97718535345902
daniel,family,0.9940788835922852
daniel,male,0.9864754856337936
daniel,female,0.9851952783854926
john,career,0.958228920740132
john,family,0.9557973165958255
john,male,0.9836232143878149
john,female,0.9868241255248674
jeffrey,career,0.9851636206698722
jeffrey,family,0.9997705358285749
jeffrey,male,0.994178758057761
jeffrey,female,0.9928119115153663
career,career,1.1102230246251565e-16
career,family,0.9728703109951261
career,male,0.9648628212764643
career,female,0.964817948251871
corporation,career,0.9739352917991596
corporation,family,0.9934225301950765
corporation,male,0.9889034431249808
corporation,female,0.9896883490951109
salary,career,0.9720961954783053
salary,family,1.0043867560031883
salary,male,0.985386745779941
salary,female,0.9860832592522836
office,career,0.971698826076375
office,family,0.9693894978080526
office,male,0.9868578980494515
office,female,0.9868703805015951
professional,career,0.9416464527582686
professional,family,0.9746730532262389
professional,male,0.9584082944815849
professional,female,0.9597149165376309
management,career,0.9685117761879172
management,family,0.9762360299835132
management,male,0.9784211374233026
management,female,0.98252981373655
business,career,0.9667247359294661
business,family,0.9610693291702954
business,male,0.9865885448028938
business,female,0.9897927634771346
wedding,career,0.9673055782312457
wedding,family,0.9791383903802342
wedding,male,0.9821073439957074
wedding,female,0.9780321124292001
marriage,career,0.9361996259141154
marriage,family,0.9475979821403067
marriage,male,0.9546675842471045
marriage,female,0.954594533727347
parents,career,0.9643452323195295
parents,family,0.934299112724685
parents,male,0.955003622227574
parents,female,0.9591132810249117
relatives,career,0.9766000770914853
relatives,family,0.9611014437647603
relatives,male,0.9666613895655722
relatives,female,0.9632469902168501
family,career,0.972870310995126
family,family,2.220446049250313e-16
family,male,0.9653793036712812
family,female,0.9727707775438887
home,career,0.982098308521636
home,family,0.932486520939134
home,male,0.9848590542276533
home,female,0.9900570627850882
children,career,0.9837869828027753
children,family,0.9329194683147781
children,male,0.9629304954473225
children,female,0.9728939055031322
