lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef.subtitles_conditional_probability_ngram_None_r1_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef.subtitles_conditional_probability_ngram_None_r1_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
subtitles_pmi_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.159,-0.365,0.076,0.112433824463009,-15.05,0.172,1178.9,subtitles_pmi_ngram_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_pmi_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.16,-0.394,0.065,0.112433824463009,-15.23,0.17,1180.1,subtitles,-,lowercase,pmi_ngram,r_03,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_pmi_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.137,-0.344,0.05,0.00376906608392668,-8.5,0.445,1180.2,subtitles_pmi_ngram_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_pmi_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.136,-0.352,0.075,0.00376906608392668,-8.39,0.454,1181.5,subtitles,-,lowercase,pmi_ngram,r_05,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.13,-0.01,0.291,0.070482958088357,2.42,0.851,1180.8,subtitles_ppmi_ngram_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_ppmi_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.125,-0.032,0.291,0.070482958088357,1.7,0.896,1182.1,subtitles,-,lowercase,ppmi_ngram,r_01,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.177,-0.388,0.076,0.183453757109626,-41.34,0.09,1177.8,subtitles_ppmi_ngram_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_ppmi_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.172,-0.393,0.048,0.183453757109626,-40.2,0.102,1179.2,subtitles,-,lowercase,ppmi_ngram,r_10,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.204,-0.39,-0.008,0.256434211174938,-32.42,0.048,1176.7,subtitles_ppmi_ngram_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_ppmi_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.205,-0.375,-0.03,0.256434211174938,-32.59,0.049,1178,subtitles,-,lowercase,ppmi_ngram,r_03,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
subtitles_ppmi_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.187,-0.356,0.002,0.170182329854378,-28.21,0.158,1178.7,subtitles_ppmi_ngram_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_ppmi_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.185,-0.363,-0.015,0.170182329854378,-28.05,0.163,1180,subtitles,-,lowercase,ppmi_ngram,r_05,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.091,-0.01,0.231,0.12388500984836,0.4,0.892,1180.8,subtitles_probability_ratio_ngram_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_probability_ratio_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.086,-0.022,0.208,0.12388500984836,0.27,0.929,1182.1,subtitles,-,lowercase,probability_ratio_ngram,r_01,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.231,-0.403,-0.06,0.235184059177604,-31.7,0.054,1176.9,subtitles_probability_ratio_ngram_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_probability_ratio_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.226,-0.437,0.032,0.235184059177604,-30.89,0.062,1178.4,subtitles,-,lowercase,probability_ratio_ngram,r_10,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.18,-0.396,-0.012,0.254538584775215,-12.72,0.102,1178,subtitles_probability_ratio_ngram_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_probability_ratio_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.18,-0.367,0.003,0.254538584775215,-12.85,0.1,1179.2,subtitles,-,lowercase,probability_ratio_ngram,r_03,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.19,-0.377,0.027,0.178653725956867,-19.15,0.094,1177.9,subtitles_probability_ratio_ngram_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_probability_ratio_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.19,-0.352,-0.023,0.178653725956867,-19.14,0.096,1179.1,subtitles,-,lowercase,probability_ratio_ngram,r_05,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_100_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.158,-0.076,0.369,0.023843287834875,197.41,0.061,1177.1,cos_subtitles_cbow_100_r1m_RT ~ country +  Letters_n + logSUBTITLES,cos_subtitles_cbow_100_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.156,-0.065,0.341,0.023843287834875,196.45,0.064,1178.5,subtitles,cos,lowercase,cbow,r_01,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_100_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.367,0.164,0.522,-0.259357610975814,390,0,1164.3,cos_subtitles_cbow_100_r10m_RT ~ country +  Letters_n + logSUBTITLES,cos_subtitles_cbow_100_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.363,0.178,0.565,-0.259357610975814,387.74,0,1166,subtitles,cos,lowercase,cbow,r_10,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_100_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.328,0.174,0.48,-0.0826885133632779,260.93,0.004,1172.2,cos_subtitles_cbow_100_r3m_RT ~ country +  Letters_n + logSUBTITLES,cos_subtitles_cbow_100_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.325,0.133,0.481,-0.0826885133632779,259.44,0.005,1173.6,subtitles,cos,lowercase,cbow,r_03,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_100_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.357,0.152,0.522,-0.147205111627701,297.26,0.001,1169.9,cos_subtitles_cbow_100_r5m_RT ~ country +  Letters_n + logSUBTITLES,cos_subtitles_cbow_100_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.353,0.149,0.528,-0.147205111627701,294.67,0.002,1171.4,subtitles,cos,lowercase,cbow,r_05,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_200_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.163,-0.025,0.327,0.0126860568911061,252.85,0.054,1176.9,cos_subtitles_cbow_200_r1m_RT ~ country +  Letters_n + logSUBTITLES,cos_subtitles_cbow_200_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.161,-0.049,0.339,0.0126860568911061,251.27,0.057,1178.2,subtitles,cos,lowercase,cbow,r_01,200,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_200_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.294,0.072,0.503,-0.217105479009435,311.3,0.01,1173.9,cos_subtitles_cbow_200_r10m_RT ~ country +  Letters_n + logSUBTITLES,cos_subtitles_cbow_200_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.289,0.08,0.465,-0.217105479009435,305.85,0.012,1175.4,subtitles,cos,lowercase,cbow,r_10,200,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
