stimuli,congruent,m_RT,country,Length,NSyll,Source,BBC_freq,BNC_freq,UKWAC_freq,BNC_n,logBNC,Letters_n,Syllables_n,BBC_n,logBBC,UKWAC_n,logUKWAC,category
anna,0,883.767117782976,UK,4,2,eLexicon,3911,98,29616,-0.648101236573561,4.58496747867057,-2.5,0,-0.634810868327863,8.27154837475552,-0.784105763044321,10.2960700348133,TRUE
anna,1,747.074132625695,UK,4,2,eLexicon,3911,98,29616,-0.648101236573561,4.58496747867057,-2.5,0,-0.634810868327863,8.27154837475552,-0.784105763044321,10.2960700348133,TRUE
ben,0,879.16625785138,UK,3,1,eLexicon,17874,74,71892,-0.688297889127278,4.30406509320417,-3.5,-1,-0.23952543197893,9.79110242194134,-0.679041614290339,11.1829202718719,TRUE
ben,1,770.070813246998,UK,3,1,eLexicon,17874,74,71892,-0.688297889127278,4.30406509320417,-3.5,-1,-0.23952543197893,9.79110242194134,-0.679041614290339,11.1829202718719,TRUE
business,0,1082.3993556701,UK,8,2,eLexicon,59676,1059,1213388,0.961439726098196,6.96508034560141,1.5,0,0.943867951266653,10.9966852085027,2.15779975069393,14.0089270048749,FALSE
business,1,873.460404182822,UK,8,2,eLexicon,59676,1059,1213388,0.961439726098196,6.96508034560141,1.5,0,0.943867951266653,10.9966852085027,2.15779975069393,14.0089270048749,FALSE
career,0,1057.11465229111,UK,6,2,eLexicon,14162,239,229536,-0.411945902820473,5.47646355193151,-0.5,0,-0.34461026616408,9.55831760021172,-0.287265366154927,12.3438151589262,FALSE
career,1,938.059012228729,UK,6,2,eLexicon,14162,239,229536,-0.411945902820473,5.47646355193151,-0.5,0,-0.34461026616408,9.55831760021172,-0.287265366154927,12.3438151589262,FALSE
children,0,1113.17578220962,UK,8,2,eLexicon,68934,1612,1139275,1.88763759535676,7.38523092306657,1.5,0,1.20595722790623,11.1409048040814,1.97361441488629,13.9459026531469,FALSE
children,1,908.167734443822,UK,8,2,eLexicon,68934,1612,1139275,1.88763759535676,7.38523092306657,1.5,0,1.20595722790623,11.1409048040814,1.97361441488629,13.9459026531469,FALSE
corporation,0,1043.95336608913,UK,11,4,eLexicon,3122,126,77149,-0.601205141927557,4.83628190695148,4.5,2,-0.657147057490601,8.04622910107538,-0.665976938587821,11.2534938959445,FALSE
corporation,1,868.507062204055,UK,11,4,eLexicon,3122,126,77149,-0.601205141927557,4.83628190695148,4.5,2,-0.657147057490601,8.04622910107538,-0.665976938587821,11.2534938959445,FALSE
daniel,0,915.950854640084,UK,6,2,eLexicon,7828,145,54859,-0.569382791989198,4.97673374242057,-0.5,0,-0.523922588289278,8.96546232851597,-0.72137195882924,10.9125215361082,TRUE
daniel,1,801.709832854345,UK,6,2,eLexicon,7828,145,54859,-0.569382791989198,4.97673374242057,-0.5,0,-0.523922588289278,8.96546232851597,-0.72137195882924,10.9125215361082,TRUE
emily,0,905.162268939066,UK,5,3,howmanysyllables_com,3967,42,15967,-0.741893425865567,3.73766961828337,-1.5,1,-0.633225536777656,8.28576542051433,-0.818026204106462,9.6782793713397,TRUE
emily,1,760.835520941892,UK,5,3,howmanysyllables_com,3967,42,15967,-0.741893425865567,3.73766961828337,-1.5,1,-0.633225536777656,8.28576542051433,-0.818026204106462,9.6782793713397,TRUE
family,0,1055.23552715096,UK,6,3,eLexicon,97265,1077,665885,0.991587215513484,6.98193467715639,-0.5,1,2.00799344485113,11.4851944912319,0.797147450683258,13.4088722619402,FALSE
