lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
subtitles_conditional_probability_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.228,-0.394,-0.066,0.175439614342768,-86290.89,0.068,1181.8,subtitles_conditional_probability_ngram_None_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_conditional_probability_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.23,-0.419,-0.058,0.175439614342768,-87806.32,0.065,1183,subtitles,-,lowercase,conditional_probability_ngram,r_01,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_conditional_probability_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.481,-0.585,-0.363,0.14222650535294,-125048.78,0,1170.6,subtitles_conditional_probability_ngram_None_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_conditional_probability_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.477,-0.594,-0.349,0.14222650535294,-124222.97,0,1172.3,subtitles,-,lowercase,conditional_probability_ngram,r_10,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.459,-0.556,-0.346,0.194674947368687,-91890.15,0,1171,subtitles_conditional_probability_ngram_None_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_conditional_probability_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.456,-0.572,-0.333,0.194674947368687,-91405.59,0,1172.6,subtitles,-,lowercase,conditional_probability_ngram,r_03,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.462,-0.579,-0.307,0.128327301354792,-105268.43,0.001,1172.6,subtitles_conditional_probability_ngram_None_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_conditional_probability_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.459,-0.567,-0.32,0.128327301354792,-104794.54,0.001,1174.2,subtitles,-,lowercase,conditional_probability_ngram,r_05,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.146,-0.322,0.017,0.0508184627950211,-83.72,0.004,1176.3,subtitles_log_ngram_None_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_log_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.147,-0.327,0.038,0.0508184627950211,-84.63,0.003,1177.4,subtitles,-,lowercase,log_ngram,r_01,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.21,-0.354,-0.056,0.0918664224220034,-81.6,0,1170.9,subtitles_log_ngram_None_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_log_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.206,-0.344,-0.064,0.0918664224220034,-80.99,0,1172.6,subtitles,-,lowercase,log_ngram,r_10,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.243,-0.402,-0.043,0.0860229545867056,-66.87,0.001,1174,subtitles_log_ngram_None_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_log_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.24,-0.4,-0.087,0.0860229545867056,-66.73,0.001,1175.4,subtitles,-,lowercase,log_ngram,r_03,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.212,-0.38,-0.045,0.0477837713846053,-70.16,0.001,1173.4,subtitles_log_ngram_None_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_log_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.21,-0.364,-0.047,0.0477837713846053,-70.02,0.001,1174.9,subtitles,-,lowercase,log_ngram,r_05,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_pmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.211,0.057,0.373,-0.0401707021870439,18.03,0.072,1181.9,subtitles_pmi_ngram_None_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_pmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.205,0.052,0.36,-0.0401707021870439,17.46,0.084,1183.4,subtitles,-,lowercase,pmi_ngram,r_01,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_pmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.187,-0.373,0.041,0.211116970226151,-21.17,0.093,1182.4,subtitles_pmi_ngram_None_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_pmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.182,-0.369,0.006,0.211116970226151,-20.58,0.105,1183.8,subtitles,-,lowercase,pmi_ngram,r_10,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_pmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.159,-0.385,0.069,0.112433824463009,-15.54,0.164,1183.3,subtitles_pmi_ngram_None_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_pmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.16,-0.359,0.068,0.112433824463009,-15.69,0.163,1184.5,subtitles,-,lowercase,pmi_ngram,r_03,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_pmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.137,-0.346,0.047,0.00376906608392668,-9.24,0.419,1184.7,subtitles_pmi_ngram_None_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_pmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.136,-0.334,0.098,0.00376906608392668,-9.09,0.43,1186,subtitles,-,lowercase,pmi_ngram,r_05,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.13,-0.033,0.271,0.070482958088357,2.27,0.862,1185.4,subtitles_ppmi_ngram_None_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_ppmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.125,-0.031,0.277,0.070482958088357,1.56,0.905,1186.6,subtitles,-,lowercase,ppmi_ngram,r_01,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.177,-0.373,0.06,0.183453757109626,-45.95,0.071,1181.9,subtitles_ppmi_ngram_None_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_ppmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.172,-0.367,0.048,0.183453757109626,-44.59,0.082,1183.4,subtitles,-,lowercase,ppmi_ngram,r_10,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_ppmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.204,-0.39,-0.007,0.256434211174938,-32.99,0.047,1181.1,subtitles_ppmi_ngram_None_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_ppmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.205,-0.364,-0.035,0.256434211174938,-33.12,0.047,1182.4,subtitles,-,lowercase,ppmi_ngram,r_03,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
